departamento,municipio,zona_urbana_rural,tipo_de_vivienda,tenencia_de_la_vivienda,area_total_m2,habitaciones,banos,pisos,antiguedad_de_la_vivienda,calidad_de_construccion,parqueaderos,estrato,tamano_del_hogar,numero_de_ninos,numero_de_adultos_mayores,genero_del_jefe_del_hogar,edad_del_jefe_del_hogar,nivel_educativo_del_jefe_del_hogar,situacion_laboral_del_jefe_del_hogar,distancia_al_centro_de_la_ciudad_km,indice_de_seguridad_del_barrio,acceso_a_transporte_publico,acceso_a_internet,acceso_a_agua_potable,acceso_a_gas,indice_de_pobreza,acceso_a_credito,ahorros_del_hogar,ingreso_del_hogar,valor_de_mercado_de_la_vivienda
Caldas,Bucaramanga,Rural,Farm,Owned,21.910546929179002,4,2,1,57,Low,2,1,4,1,1,Male,73,Postgraduate,Formal,3.895368526035754,70.26722371060126,Yes,No,Yes,Yes,0.1741339359743547,Yes,1384793.6979716157,3732278.832986299,15.91740372016782
Santander,Cali,Urban,House,Rented,81.75869966722705,4,3,1,60,Low,1,2,1,2,0,Male,40,Postgraduate,Formal,6.4821756291101105,91.36436119532263,Yes,Yes,Yes,Yes,0.29663129083861717,No,275835.8125497661,8961628.119536515,61.72986450063184
Antioquia,Medellín,Urban,Farm,Rented,282.88794046577897,2,2,1,39,Medium,1,4,7,4,2,Female,43,Secondary,Formal,8.678281177256736,72.05070935984727,Yes,Yes,Yes,No,0.2087233508948872,Yes,832302.705124211,7394383.2504684,221.89875973770495
Atlántico,Manizales,Urban,Apartment,Family,70.58408788162026,3,2,1,2,Medium,2,3,3,1,0,Female,29,Postgraduate,Formal,19.22715542965364,70.30304903139853,Yes,Yes,Yes,Yes,0.5095702794641872,Yes,464369.6709119096,13917969.646850191,116.83452515544616
Valle del Cauca,Medellín,Urban,Farm,Rented,14.940180224326177,3,2,3,32,Medium,0,3,3,2,1,Female,65,University,Formal,2.8215519332418024,49.161230870523,Yes,No,Yes,Yes,0.10061590660392836,No,2023976.9269810366,8507882.376859637,38.63235581174997
Antioquia,Bucaramanga,Urban,Farm,Family,78.46817001566642,2,3,3,7,Medium,1,5,4,1,1,Male,25,Primary,Formal,3.0331317134599267,71.96789689801025,Yes,No,Yes,Yes,0.08470192267745033,No,1202676.4070497975,5923249.834022771,153.8243134246784
Caldas,Medellín,Urban,Apartment,Owned,186.89125670670728,1,1,2,38,High,2,2,7,2,0,Female,72,Postgraduate,Formal,7.859720634177756,48.380991392044464,Yes,Yes,Yes,Yes,0.322294324821719,Yes,426456.9882843289,8013294.635500832,156.10046072950965
Antioquia,Pereira,Rural,Apartment,Owned,74.58460133069207,5,1,1,41,Low,2,4,4,4,2,Male,33,University,Formal,3.8952634442628047,36.95633793652301,No,Yes,Yes,Yes,0.42016167301794394,Yes,2104349.335720157,13039981.52238255,112.49671941190594
Valle del Cauca,Barranquilla,Urban,Farm,Rented,154.59540005471402,2,3,2,27,Medium,0,2,1,4,1,Male,39,University,Formal,6.028975469516228,48.678500480168125,Yes,Yes,Yes,Yes,0.45760890708573043,Yes,2057664.3059696292,6139687.879882112,123.90806678075762
Bolívar,Manizales,Rural,House,Owned,293.7807591796053,3,2,3,28,High,1,3,2,2,1,Male,34,Postgraduate,Informal,17.396388860767757,93.5618393024875,Yes,Yes,Yes,Yes,0.06610065288495044,No,1036145.7100913804,7265238.229462899,252.78437149782792
Antioquia,Cali,Urban,House,Owned,196.60560905789106,1,3,2,19,Low,1,4,5,2,0,Male,37,Secondary,Informal,23.625042177980042,63.23939510325892,Yes,Yes,Yes,Yes,0.614301761272596,No,1766260.7254916506,6084070.808322343,233.67215330124313
Risaralda,Medellín,Rural,Apartment,Family,111.56586119845204,4,1,2,51,Low,2,4,7,1,1,Male,48,Primary,Unemployed,10.561497157659215,33.3974756157238,No,Yes,Yes,No,0.3363396593065752,No,719916.3864923847,771753.1475233354,115.14680894214243
Atlántico,Medellín,Urban,House,Rented,88.35699664999566,4,3,1,35,Low,1,1,1,2,1,Male,60,Secondary,Informal,20.987820235644858,83.77103042397505,Yes,No,Yes,Yes,0.5664474280311174,Yes,1128074.4674608153,1633701.8498493119,79.65817637073351
Santander,Bogotá,Rural,Apartment,Family,103.92071964056117,4,2,2,20,Low,2,2,3,4,1,Female,35,Secondary,Formal,7.755297657867341,35.26067643187784,Yes,Yes,Yes,Yes,0.3036767658582643,Yes,1237434.1799913298,4131813.3380992836,71.95170548479899
Antioquia,Bogotá,Urban,Farm,Owned,87.19148404686098,5,3,2,36,Medium,0,2,3,2,0,Male,73,Primary,Informal,13.198551621764526,51.443924483058424,Yes,No,Yes,Yes,0.3177094840103048,No,1127998.5021787458,1512186.825930798,81.53128177332316
Atlántico,Bogotá,Urban,Farm,Owned,74.40819175656262,3,1,2,17,Medium,0,2,2,1,1,Male,60,Secondary,Formal,13.883546778457577,60.377056876313546,Yes,Yes,Yes,Yes,0.08479801762667664,Yes,1582982.2378981952,3940555.644303358,68.5650111125769
Cundinamarca,Cali,Urban,House,Owned,112.08843763538127,1,1,3,17,Medium,1,3,2,1,0,Male,77,Postgraduate,Formal,0.7283035167521592,70.8633295384243,Yes,Yes,Yes,Yes,0.06416284573234214,Yes,3411210.8496602233,11081273.401072597,106.33907578598865
Atlántico,Barranquilla,Rural,Apartment,Rented,85.4226990049545,3,1,1,68,Medium,0,4,7,2,0,Female,35,Secondary,Formal,19.484655531928002,86.51964800616936,Yes,Yes,Yes,No,0.3318891689244771,Yes,2824830.247351084,7734813.99173441,149.3238789671779
Santander,Cartagena,Urban,House,Owned,65.76729719612221,5,2,1,55,Medium,1,1,6,3,2,Male,24,University,Informal,8.571964246953605,37.59253949475225,Yes,Yes,Yes,Yes,0.20508828328156803,Yes,1257435.506063472,3210564.3965081726,10.317643155393405
Atlántico,Barranquilla,Urban,House,Owned,31.205719285334954,5,1,1,65,High,2,2,7,0,2,Female,65,Secondary,Unemployed,6.425808827956509,32.939934931180616,Yes,Yes,Yes,Yes,0.4728484054602255,Yes,2883618.3176573035,556484.7973783063,88.85138324272535
Valle del Cauca,Manizales,Urban,Farm,Family,49.34609726305173,2,1,1,1,Low,1,4,5,4,1,Female,46,University,Informal,18.882586591870496,53.42370379364441,Yes,No,Yes,Yes,0.28740185991277395,No,1669233.9459824446,7113188.655458436,91.80435435336358
Caldas,Barranquilla,Urban,House,Rented,99.3465213726434,3,3,3,20,Medium,0,4,3,1,0,Male,78,Postgraduate,Informal,7.864721823851831,72.96292572806746,Yes,Yes,Yes,Yes,0.03224839275498836,No,1300916.7953434647,8467794.233565334,79.5695929475159
Santander,Cali,Rural,Farm,Owned,67.77177615493214,4,3,1,15,Medium,0,1,4,1,2,Male,74,Primary,Informal,4.5258835571804985,48.604549411689945,Yes,Yes,Yes,Yes,0.20631172422181426,Yes,1520289.6973330125,755569.5042546301,34.10989280980887
Caldas,Pereira,Urban,Apartment,Family,67.96552590690108,2,2,2,35,Medium,1,3,4,3,0,Male,47,Primary,Informal,4.478546702600822,48.01463495341396,No,No,Yes,Yes,0.2587786939971102,Yes,2738956.4756785305,2014625.0563444789,80.56516270201494
Bolívar,Pereira,Urban,House,Owned,68.10027127922356,3,2,3,33,Medium,0,6,1,3,0,Female,51,Secondary,Informal,4.614047691404984,65.35128806940163,Yes,Yes,Yes,Yes,0.18591718231618293,Yes,1739507.486850092,6341570.9327751985,100.12256817107092
Caldas,Cali,Rural,Farm,Family,62.4227853528643,2,3,2,19,Medium,1,3,7,1,1,Male,25,Secondary,Informal,18.374622082003643,63.17582416058222,Yes,Yes,Yes,Yes,0.238382726822322,Yes,1408782.9999123996,3649817.90389281,70.50620567087778
Cundinamarca,Bogotá,Urban,House,Owned,70.26778112911697,2,1,3,22,Medium,1,2,4,2,1,Male,20,Postgraduate,Formal,8.388997635923719,52.66728534580167,Yes,Yes,Yes,Yes,0.3957317484036442,Yes,126179.05147360398,8923391.212122533,16.71493790987845
Valle del Cauca,Medellín,Rural,Apartment,Rented,73.50192847822414,1,3,1,32,Medium,2,3,6,2,1,Male,71,Secondary,Formal,9.707367464983566,50.81892778542412,Yes,Yes,Yes,Yes,0.4276882320237163,Yes,1985282.8271412025,7064551.493399076,109.1764956142777
Bolívar,Bucaramanga,Urban,House,Rented,124.55017079902926,2,3,1,6,Medium,0,2,5,4,1,Male,62,Secondary,Informal,22.399006774344187,55.70105111598515,Yes,Yes,Yes,Yes,0.32308388703816115,Yes,1492514.2602010337,2986395.434210099,110.74158125121924
Atlántico,Bucaramanga,Urban,House,Family,41.71201142489669,5,1,3,50,Low,0,3,5,0,0,Female,30,University,Formal,3.506886533871192,94.28096908800607,Yes,Yes,Yes,Yes,0.2363080049585377,Yes,4327350.366191139,8066842.982394812,88.9668311243577
Santander,Cartagena,Urban,Farm,Owned,160.58269129084653,4,3,1,44,High,0,4,6,3,0,Female,27,Postgraduate,Unemployed,11.699609473334242,82.04014424346938,Yes,Yes,Yes,Yes,0.14512890188665764,Yes,287449.12632561225,3601175.3041392956,183.0154286898246
Cundinamarca,Medellín,Urban,Apartment,Rented,123.74698234772583,1,3,3,67,Medium,1,1,3,1,2,Male,40,Secondary,Formal,18.169018252034217,57.334861953496215,No,Yes,Yes,Yes,0.23426565990264978,Yes,2691067.793463453,2461034.738311654,63.396409871536804
Valle del Cauca,Cartagena,Urban,Apartment,Owned,114.121636863686,2,1,1,47,Low,2,2,4,4,0,Female,61,University,Formal,11.46264259955408,33.16816973890254,Yes,No,Yes,No,0.701362685956286,No,3684849.3769428353,8966102.647523476,90.82380123625444
Bolívar,Bogotá,Urban,Apartment,Rented,83.64754522303652,1,1,3,68,High,1,3,2,4,1,Male,33,University,Formal,14.980436148596993,51.25297921811478,Yes,Yes,Yes,Yes,0.4983740237129793,Yes,257852.91389496974,9587185.755107986,145.97988314505926
Bolívar,Cartagena,Urban,House,Family,28.650426556393462,4,2,1,63,Low,0,2,3,0,1,Male,44,Primary,Informal,49.47760984521209,33.677757245973915,Yes,Yes,Yes,Yes,0.3044491991408803,No,5594317.445295337,1841148.3652244008,64.11565395722462
Cundinamarca,Medellín,Urban,Farm,Rented,167.20420469870047,4,2,1,13,Medium,1,4,1,3,2,Female,33,Primary,Informal,4.590870846767511,54.224864129768505,No,No,Yes,Yes,0.6456325733639472,Yes,3660425.944131308,5657913.935518107,166.850999758571
Risaralda,Manizales,Rural,House,Owned,97.43952733126915,1,3,3,49,Medium,0,1,2,2,2,Male,47,University,Formal,5.165172764107383,89.40856991971373,Yes,Yes,Yes,Yes,0.13780828103664552,No,719764.5168887151,2724482.6166465594,58.94511526861835
Atlántico,Medellín,Urban,House,Owned,221.60521107874212,3,2,2,8,Medium,1,5,4,2,1,Male,60,University,Formal,14.696434895144971,34.00702644891955,No,Yes,Yes,Yes,0.11211099564732234,Yes,5846255.882667867,12408064.438833773,212.21130649153054
Cundinamarca,Bucaramanga,Urban,House,Owned,74.66402426775562,4,1,1,43,High,1,6,7,3,1,Male,30,Secondary,Formal,5.78090825048633,50.87018556744443,Yes,No,Yes,Yes,0.2074486754281355,Yes,601684.6054078703,9938285.149445526,145.66619363714463
Bolívar,Pereira,Rural,Apartment,Family,28.44705552457735,5,1,3,20,High,0,2,5,4,1,Female,28,University,Formal,16.061393082046052,34.25144845180539,No,Yes,Yes,Yes,0.3481364259301129,Yes,923455.3467608583,6487447.932417048,60.07862790204146
Antioquia,Bogotá,Urban,Farm,Family,116.62699415945713,5,2,1,63,Medium,1,1,4,4,0,Male,38,Secondary,Informal,5.311944162263526,54.23480535848403,Yes,Yes,Yes,Yes,0.18274601102844978,No,403309.24043140875,1715309.112687485,60.235621019924345
Valle del Cauca,Manizales,Urban,Apartment,Owned,108.67038192086574,2,1,1,55,High,0,6,5,4,2,Male,43,Secondary,Formal,5.3515681369446435,57.18800469614983,Yes,Yes,Yes,Yes,0.7471664232003454,Yes,2966171.7934223954,16272688.901016505,140.99211202787947
Cundinamarca,Cali,Rural,House,Owned,134.90277852319716,3,1,2,10,Medium,1,2,6,1,0,Male,65,Secondary,Informal,4.609638785360865,66.16406466614555,Yes,Yes,Yes,Yes,0.44290199397947433,No,1167368.5461668698,2422148.1191956936,128.74994372495433
Risaralda,Manizales,Rural,House,Rented,128.7577364443039,3,3,3,56,High,1,2,1,2,1,Female,60,Primary,Unemployed,16.116435995874696,69.76237525799975,Yes,Yes,Yes,Yes,0.18408725177481175,No,720149.146469411,754463.8906099022,161.70897206555094
Bolívar,Manizales,Urban,Farm,Rented,125.91497426217013,2,1,2,37,Medium,0,1,7,1,0,Male,40,Primary,Informal,5.615368420537434,77.38112721114575,Yes,Yes,Yes,Yes,0.1734999868751112,Yes,1894162.7377844749,1570293.5702596153,132.9888588275103
Atlántico,Cartagena,Urban,Apartment,Rented,153.57373579500054,4,3,1,27,Low,0,1,3,0,1,Male,38,University,Informal,11.809225218654207,70.68168585124134,Yes,Yes,Yes,Yes,0.24295948164354667,Yes,2532480.382434433,1128124.2045103712,108.79790905474329
Caldas,Bucaramanga,Urban,House,Owned,61.07184938556816,1,1,3,6,High,0,1,6,2,0,Female,61,Secondary,Informal,9.121313598315153,50.18672402081684,Yes,Yes,Yes,Yes,0.1511699458593411,Yes,1741924.3342861661,1470440.2231844803,75.92048677693151
Bolívar,Cartagena,Urban,House,Rented,38.12213202788068,3,3,2,33,Medium,0,1,4,3,2,Female,40,Secondary,Formal,5.177420414090367,46.92527635286635,Yes,Yes,Yes,Yes,0.17766133985745966,Yes,2736878.7614707313,1979976.4473574506,63.96948604116805
Atlántico,Cartagena,Urban,Farm,Owned,145.405330586339,3,2,3,1,Medium,0,6,2,4,0,Female,60,Secondary,Informal,22.056801339009823,30.871094722799963,Yes,No,Yes,Yes,0.37314273741007703,Yes,704311.3311375009,9237733.490567898,219.28197348110035
Cundinamarca,Cali,Urban,House,Family,141.91168775550136,4,3,1,43,Medium,1,4,4,0,0,Female,57,Primary,Formal,6.002176461181678,73.95459386273643,Yes,Yes,Yes,Yes,0.36945806424306005,Yes,1717341.5881736053,6231479.424952524,163.6214206165729
Atlántico,Bogotá,Urban,Apartment,Rented,64.20061836554578,1,1,1,65,Low,1,2,4,3,2,Female,68,Secondary,Informal,4.4786461134903846,90.00063889170144,Yes,Yes,Yes,Yes,0.23601366198494983,Yes,1127297.7795785745,2538681.4330098666,88.5843999253544
Santander,Medellín,Urban,Apartment,Owned,99.58258331385417,5,3,2,21,Medium,2,2,1,1,1,Female,32,Secondary,Informal,3.653312433556396,50.79254518379963,Yes,Yes,Yes,Yes,0.49245335273338625,Yes,1202850.3688716448,2660384.488860751,75.71634521831753
Santander,Barranquilla,Urban,House,Owned,194.65370198354992,3,3,1,57,Medium,2,1,5,1,0,Male,41,Postgraduate,Formal,7.02020577672502,89.97815503666254,Yes,Yes,Yes,Yes,0.08035656500782108,Yes,515721.2410900132,4088533.8707728176,161.06846281916899
Santander,Cartagena,Urban,House,Family,87.7483899333048,4,3,3,0,Medium,2,2,3,4,2,Female,21,University,Informal,21.741952586085663,71.18793010394816,Yes,Yes,Yes,Yes,0.3033894356050858,No,1254177.4993336517,4008190.1597302626,88.99369024549107
Risaralda,Barranquilla,Urban,House,Family,37.251304161028024,3,2,1,36,Medium,0,5,3,3,1,Male,39,Secondary,Unemployed,5.029166618843732,78.95536922420533,Yes,Yes,Yes,Yes,0.3405828567508186,No,1454246.8444096916,2355361.2559878617,125.20030037647406
Risaralda,Bogotá,Urban,Farm,Family,36.240234810246335,5,1,2,56,High,0,6,5,2,1,Female,71,Secondary,Formal,7.528167715385053,82.8938621336213,Yes,Yes,Yes,Yes,0.549795754854672,Yes,4745157.11582466,13459685.170629544,145.2028686877221
Antioquia,Barranquilla,Urban,Farm,Family,97.67093100119425,2,3,1,10,Medium,1,5,2,4,2,Female,77,Postgraduate,Informal,3.383686892609012,87.2641286165076,Yes,Yes,No,Yes,0.04618982939414753,Yes,720700.9199507037,10671871.08357567,120.17797830517438
Risaralda,Cartagena,Urban,Apartment,Rented,140.95258675029186,4,2,2,60,Low,1,1,4,2,2,Female,23,Primary,Informal,2.619421430248984,46.03694699318952,No,Yes,Yes,Yes,0.18955669494458954,Yes,2721361.707279774,1006278.9424977618,87.02696286487556
Caldas,Cali,Urban,Apartment,Family,142.54552831466643,1,3,2,13,Medium,1,1,1,0,2,Female,52,University,Formal,5.671500725961308,49.68264682754713,Yes,Yes,Yes,Yes,0.2198190382860154,Yes,2143573.679103976,3201677.718354689,91.08518783068817
Cundinamarca,Barranquilla,Urban,House,Owned,114.9444357662617,2,3,2,6,Low,0,1,2,4,0,Male,75,University,Informal,4.319873047552129,79.51785843138623,No,Yes,Yes,Yes,0.31889695619466935,Yes,2266910.4084578026,2337507.620459677,101.86430534299815
Bolívar,Bogotá,Urban,House,Owned,29.62066193524817,1,1,2,40,High,2,1,1,3,0,Male,71,Secondary,Formal,2.0691681358741327,40.897944149014975,Yes,Yes,Yes,Yes,0.32916939554129754,No,2466583.0645477376,1532772.0316349147,54.65997655401538
Bolívar,Bogotá,Urban,House,Owned,31.605405094266633,5,2,3,14,High,0,1,7,2,1,Female,50,Secondary,Formal,16.744408029679793,95.4347068344184,Yes,Yes,No,No,0.27412640979506414,Yes,443947.73351720395,1186811.7594559877,53.126852350835385
Antioquia,Pereira,Urban,Farm,Owned,123.58351391555277,1,3,2,61,High,2,1,7,4,0,Female,48,Secondary,Informal,0.9895607591499361,59.49251490562317,Yes,Yes,Yes,Yes,0.3780960113902824,Yes,1075150.314669382,1184406.5851862174,118.19901716404922
Risaralda,Pereira,Urban,Farm,Owned,82.48493073835022,3,1,3,57,Medium,1,2,1,2,1,Female,24,Secondary,Unemployed,7.501807283944938,65.9395734902504,Yes,Yes,Yes,Yes,0.4305334005640359,Yes,1537629.5829864629,747366.588648082,124.02929256573401
Caldas,Cali,Urban,House,Family,22.776285146976164,5,3,3,46,Low,1,1,4,0,1,Female,23,Primary,Informal,24.133034975742618,46.696429322126484,Yes,Yes,Yes,Yes,0.4889745549428422,No,411242.15295334195,318319.1688273838,31.786125692830854
Atlántico,Barranquilla,Urban,House,Owned,82.11702091575575,2,1,3,35,High,2,1,6,0,1,Female,71,Secondary,Informal,12.103838265907228,35.67868495509877,Yes,Yes,No,Yes,0.44879029481841654,Yes,418902.55233535264,1191900.9701160602,58.54636450052892
Antioquia,Barranquilla,Urban,Apartment,Family,67.46984561060987,3,2,1,3,Low,0,3,6,0,2,Male,22,University,Unemployed,5.636400151996458,49.55733589013111,Yes,Yes,Yes,Yes,0.29623584162956956,Yes,2605693.5896640727,2648292.1934673884,28.172183860336887
Caldas,Pereira,Urban,Farm,Family,118.41465782360032,3,2,2,57,Medium,1,1,4,3,2,Female,63,Secondary,Informal,6.033293848749252,92.35219430702472,Yes,Yes,Yes,No,0.2806420330640862,No,1562243.540224519,1563667.527975687,83.68604214620167
Atlántico,Medellín,Urban,House,Family,27.05501195275221,5,2,2,59,Low,2,1,3,0,2,Male,53,University,Informal,24.925916821002573,74.70802531455382,Yes,Yes,Yes,Yes,0.5131696380640428,Yes,375863.2856316162,1529280.4370741914,-1.8421003927286819
Caldas,Bucaramanga,Rural,Farm,Family,66.13903846568186,1,3,1,28,Medium,0,3,3,0,1,Male,25,Postgraduate,Formal,8.556447984597387,64.18902657569615,Yes,Yes,Yes,Yes,0.42952488698281555,No,952180.6515578561,13669157.147394314,63.72316485820666
Atlántico,Bogotá,Urban,House,Rented,78.64781419742373,1,2,2,64,Medium,2,2,4,4,0,Female,51,Primary,Formal,12.36550336261115,32.79651898484802,Yes,No,Yes,Yes,0.05896704367358652,No,1175443.9665234222,2812449.5719000692,119.72396978551494
Valle del Cauca,Medellín,Urban,House,Rented,108.32354596793336,2,2,1,26,Medium,1,4,7,1,2,Female,36,Secondary,Unemployed,2.172139129065695,45.9851391364634,Yes,Yes,Yes,Yes,0.27905201291111426,Yes,2561743.7169387494,2006604.329555174,162.12979901529036
Caldas,Bogotá,Rural,Apartment,Rented,20.078210154087824,5,1,2,6,High,0,5,7,4,2,Female,45,Secondary,Unemployed,8.922439887113638,43.06677106664127,Yes,Yes,Yes,Yes,0.19930255560968127,Yes,1031892.0695885654,1861784.6917862743,120.38720836122204
Bolívar,Manizales,Rural,Apartment,Rented,52.306925599195324,2,2,3,64,Low,1,5,1,3,0,Male,75,University,Formal,4.898855785034887,42.0876552096383,Yes,Yes,Yes,Yes,0.18078942188697636,Yes,5157698.235010597,13252261.51534868,64.61233294923585
Santander,Manizales,Urban,Apartment,Rented,96.55403253706595,4,1,3,40,Low,0,1,1,3,0,Female,39,Secondary,Informal,6.661934972098948,94.01863713063273,Yes,Yes,Yes,Yes,0.5289265889327218,No,1495403.4341643532,2358154.0411129063,46.05298392309098
Risaralda,Medellín,Urban,House,Owned,97.8189512739895,5,2,3,41,Medium,1,3,3,0,1,Female,63,Secondary,Unemployed,0.6594453568050441,75.4745671168334,Yes,No,Yes,Yes,0.35327861258072646,Yes,1924579.6116866514,1843946.143267435,105.17672722315135
Atlántico,Manizales,Urban,Apartment,Rented,148.64722516665654,4,3,2,34,High,0,1,6,3,0,Male,63,University,Formal,18.278908665092906,88.81746168341942,Yes,Yes,Yes,Yes,0.5617961715218405,No,4583150.751057694,3968764.603624434,93.91354742913917
Valle del Cauca,Pereira,Urban,House,Owned,38.74317086907178,2,3,3,33,Low,2,2,6,2,0,Female,63,Postgraduate,Formal,14.245731648350299,38.82264550997844,Yes,Yes,Yes,Yes,0.19589596479126944,No,540853.4562085113,7212717.024861293,65.39874028880834
Caldas,Pereira,Urban,Farm,Owned,96.06669503547423,4,2,1,8,Medium,1,2,5,2,0,Female,35,Secondary,Formal,9.540143433537944,32.18941129341083,Yes,Yes,Yes,Yes,0.3749031750521485,Yes,2981684.3076380575,3986319.332099613,120.86160211335607
Bolívar,Bucaramanga,Urban,Farm,Family,85.08341111555735,4,1,2,48,Low,1,1,4,2,0,Male,20,University,Informal,0.8904151850579728,68.48286134283128,Yes,Yes,Yes,Yes,0.2789442578327633,Yes,169280.75178212931,1496204.8528947702,26.986833034435833
Santander,Medellín,Urban,House,Family,104.90297447700618,3,3,2,21,Medium,1,4,4,4,1,Male,69,Secondary,Unemployed,3.722886027031328,55.42342553675019,Yes,Yes,Yes,Yes,0.184922503083832,No,1277097.3642300868,2473535.942738175,131.02874139927644
Atlántico,Bogotá,Urban,Apartment,Family,124.54362095695431,3,3,2,36,Low,1,5,4,1,0,Male,68,University,Informal,29.978842031148076,31.64453103493205,Yes,Yes,No,Yes,0.25603745601366923,Yes,1665285.1913998576,8657476.422712212,163.6484585472907
Caldas,Barranquilla,Urban,Apartment,Rented,128.35282987093,2,3,3,59,Low,2,2,3,1,1,Female,50,Secondary,Formal,3.837627587617059,66.07878237539455,Yes,Yes,Yes,Yes,0.48331060175761814,Yes,1673998.681356145,5231731.55136678,79.16785712313683
Caldas,Bogotá,Rural,Farm,Owned,51.075440631781596,2,1,3,11,Medium,2,1,7,1,0,Male,62,Secondary,Formal,5.8183979846384615,45.86128283345697,No,Yes,Yes,Yes,0.137315568253748,No,1780246.927130153,2324359.3845647485,67.79082913223291
Atlántico,Cartagena,Urban,House,Rented,119.63794773363588,1,2,1,35,High,0,1,4,4,1,Male,47,University,Formal,13.837310784181787,93.70448877053528,No,Yes,Yes,Yes,0.2244917237521394,No,2603656.938223841,2946661.672544399,84.40678317631549
Antioquia,Pereira,Urban,House,Family,79.98596616598273,4,3,1,41,Medium,0,3,7,4,1,Male,45,Secondary,Formal,1.7906645885183645,91.30289150580981,No,Yes,Yes,Yes,0.1885763960664909,Yes,4511561.797285116,5390641.964285403,81.44223630761947
Antioquia,Cali,Urban,House,Family,90.60792046557552,1,3,2,1,Medium,2,1,2,2,1,Male,75,University,Informal,5.507311480872083,47.13549382680566,Yes,Yes,Yes,Yes,0.35837636526199246,No,585630.8098606152,2236648.8385949275,33.02977570130482
Bolívar,Cali,Urban,Farm,Owned,87.9863407747276,1,3,1,30,Medium,0,1,6,0,2,Male,50,University,Informal,6.407807608535046,59.25745480969296,Yes,Yes,Yes,Yes,0.040989416176357894,Yes,1806508.4920144125,1187472.4479188593,68.72903860466224
Santander,Pereira,Urban,Farm,Owned,120.72424373406373,5,3,2,19,Low,1,1,3,4,0,Female,51,Postgraduate,Formal,3.5441431872690474,82.93511843878258,Yes,Yes,Yes,Yes,0.3319400260437427,Yes,2330954.974705553,4206761.877900124,119.00903228606595
Atlántico,Cartagena,Rural,Apartment,Family,37.02898650728031,1,3,3,37,Medium,0,3,3,3,1,Male,57,Primary,Informal,10.488494348499056,61.905015945580836,No,Yes,Yes,Yes,0.28515993726377065,No,1343869.0607737943,3124136.185304017,34.059632348362555
Bolívar,Cali,Rural,House,Rented,117.21199741540995,1,3,3,4,High,0,2,6,0,0,Female,56,Secondary,Formal,3.4644836177701066,75.46525369758528,Yes,Yes,Yes,Yes,0.24665364469985582,Yes,1553177.2101560424,4010348.8230500063,132.6261923014452
Bolívar,Manizales,Urban,House,Rented,155.0951776795152,4,2,2,15,High,0,6,4,3,1,Female,41,Secondary,Formal,11.643164317202235,93.7399527290662,No,Yes,Yes,Yes,0.5272626225797333,No,918471.6694094349,13529413.17656841,158.52111035291347
Cundinamarca,Pereira,Urban,House,Owned,224.15690949224035,1,3,3,59,Medium,2,2,3,3,1,Female,28,Postgraduate,Formal,14.58589683470208,58.636053570941264,Yes,Yes,No,Yes,0.09353439927072081,No,3465058.865481194,6951623.08310879,186.3059852262147
Caldas,Cali,Urban,House,Family,78.77010417709135,4,3,3,2,High,0,2,5,3,0,Female,44,Primary,Formal,6.4045690409583065,84.86528858631812,Yes,No,Yes,Yes,0.19419080388238866,No,2226060.9787744326,3001116.5545688802,126.17393814216366
Risaralda,Pereira,Urban,Farm,Rented,9.828276929391162,4,3,3,32,Medium,1,1,1,1,1,Female,55,Primary,Formal,2.037417869054425,73.5310694571374,No,Yes,Yes,Yes,0.32318922138425965,Yes,1648524.3199335411,1990557.1501247813,32.72174760787855
Caldas,Bucaramanga,Urban,Apartment,Owned,47.80803331610283,1,2,2,69,High,1,4,7,0,1,Female,66,Postgraduate,Formal,3.252171003112905,63.29163842756021,Yes,Yes,Yes,No,0.22098750205422057,Yes,1021822.5253144706,16317541.586404735,76.79875455312575
Antioquia,Barranquilla,Urban,Farm,Owned,26.898694726202788,4,1,1,17,Medium,0,4,2,4,2,Male,32,Secondary,Formal,24.454436532216484,54.61392235187492,Yes,Yes,No,Yes,0.6436170188020855,No,1283794.1397886588,8943903.766775075,92.9621102619022
Santander,Barranquilla,Urban,Apartment,Owned,142.41922220776954,2,1,2,3,Medium,1,2,5,1,2,Male,60,University,Formal,12.695900355891057,94.60300095980136,Yes,Yes,No,Yes,0.28296390397738713,No,4651389.182900759,6277906.54418134,152.05114150451195
Caldas,Bogotá,Urban,House,Rented,95.77225704869568,2,3,2,43,High,0,4,2,4,2,Female,49,Secondary,Formal,5.217418903369154,37.574244253050786,Yes,Yes,Yes,Yes,0.3303379742968481,Yes,2091657.994998935,8747132.036707597,147.62848587753348
Atlántico,Cartagena,Urban,House,Owned,50.20646168338727,4,2,3,34,Medium,0,1,2,4,2,Female,56,University,Informal,14.16247851562337,80.49421694661856,Yes,Yes,Yes,Yes,0.09359457796051639,Yes,2908467.5744816787,759857.8489433395,26.448978119376335
Bolívar,Pereira,Rural,House,Rented,92.50099914461231,2,2,3,33,Low,1,4,4,0,0,Female,49,Primary,Informal,11.46466970454625,63.08305663059206,Yes,Yes,Yes,Yes,0.3269735016934646,No,2067753.4059422058,4337875.035600146,117.80417280969756
